Date,Open,High,Low,Close,Volume
2011-09-09,11.5099,11.5656,11.2359,11.3103,673083180
2011-09-12,11.1908,11.4126,11.1438,11.3849,556670531
2011-09-13,11.4501,11.5726,11.3937,11.5246,524803570
2011-09-14,11.5961,11.751,11.5578,11.6659,636748425
2011-09-15,11.7335,11.7945,11.6824,11.7738,494485300
2011-09-16,11.866,12.0003,11.8364,12.0003,829360768
2011-09-19,11.8936,12.3811,11.8413,12.335,978926894
2011-09-20,12.4448,12.6714,12.3212,12.3879,922897923
2011-09-21,12.5763,12.633,12.3457,12.3507,720071049
2011-09-22,12.016,12.2799,11.8869,12.0406,1153014152
2011-09-23,11.9925,12.1858,11.9807,12.1141,650773732
2011-09-26,11.9886,12.1045,11.7256,12.0798,968128398
2011-09-27,12.2545,12.2623,11.9255,11.9632,752342811
2011-09-28,11.9993,12.0965,11.88,11.8964,511694987
2011-09-29,12.0455,12.0524,11.5726,11.7031,775496868
2011-09-30,11.5999,11.6531,11.4206,11.4244,652640420
2011-10-03,11.3976,11.4654,11.1811,11.2232,796177963
2011-10-04,11.232,11.4393,10.6139,11.1605,1469126058
2011-10-05,11.022,11.3812,10.7954,11.3341,936763675
2011-10-06,11.1771,11.5293,11.1409,11.3074,967349100
2011-10-07,11.2586,11.3182,11.0407,11.0799,638163356
2011-10-10,11.3619,11.6512,11.3321,11.6512,525477035
2011-10-11,11.7629,12.0798,11.7305,11.9945,720875880
2011-10-12,12.2074,12.2623,11.9896,12.0514,740777602
2011-10-13,12.1346,12.2378,12.07,12.2378,504987347
2011-10-14,12.4938,12.646,12.4419,12.646,681490766
2011-10-17,12.6281,12.7844,12.4615,12.5851,816296245
2011-10-18,12.633,12.7266,12.4635,12.654,1029556401
2011-10-19,12.0298,12.2378,11.9196,11.9445,1314528315
2011-10-20,11.9846,11.9965,11.812,11.8442,654480141
2011-10-21,11.9335,11.9593,11.7079,11.7718,739002463
2011-10-24,11.868,12.18,11.8462,12.1574,598202293
2011-10-25,12.1356,12.1809,11.9071,11.9187,512457683
2011-10-26,12.0455,12.0621,11.7786,12.0043,543018442
2011-10-27,12.2192,12.2554,12.0425,12.1251,589091942
2011-10-28,12.0739,12.1761,12.0602,12.1327,384227439
2011-10-31,12.0495,12.2643,12.017,12.128,459494496
2011-11-01,11.911,11.9701,11.7806,11.88,633309957
2011-11-02,11.9905,11.9985,11.8383,11.9081,390323216
2011-11-03,11.9632,12.0858,11.8452,12.0768,526115275
2011-11-04,12.0574,12.0868,11.9593,11.9925,359522099
